,time,open,high,low,close,volume,date
6265,1593316800000.0,8971.86,9034.65,8961.21,9023.09,3229.34381,2020-06-28 04:00:00
6266,1593331200000.0,9023.42,9083.57,9003.09,9052.81,6184.579903,2020-06-28 08:00:00
6267,1593345600000.0,9052.8,9179.05,9020.44,9159.42,8470.483979,2020-06-28 12:00:00
6268,1593360000000.0,9159.27,9191.0,9102.5,9112.64,5339.325278,2020-06-28 16:00:00
6269,1593374400000.0,9112.12,9146.0,9075.94,9116.35,4718.290032,2020-06-28 20:00:00
6270,1593388800000.0,9116.16,9148.61,9083.52,9097.01,4312.868264,2020-06-29 00:00:00
6271,1593403200000.0,9097.01,9134.24,9062.39,9096.95,6120.855679,2020-06-29 04:00:00
6272,1593417600000.0,9096.91,9142.0,9061.26,9097.38,7696.305531,2020-06-29 08:00:00
6273,1593432000000.0,9097.37,9135.36,9024.67,9124.75,9234.29761,2020-06-29 12:00:00
6274,1593446400000.0,9124.43,9180.0,9102.03,9158.1,7104.851444,2020-06-29 16:00:00
6275,1593460800000.0,9158.1,9238.0,9146.91,9192.56,7651.114733,2020-06-29 20:00:00
6276,1593475200000.0,9192.93,9205.0,9155.06,9161.65,4008.794118,2020-06-30 00:00:00
6277,1593489600000.0,9161.67,9178.87,9111.94,9144.88,5503.832364,2020-06-30 04:00:00
6278,1593504000000.0,9144.34,9174.0,9113.55,9148.9,4894.292709,2020-06-30 08:00:00
6279,1593518400000.0,9148.89,9189.0,9064.89,9169.57,9169.768124,2020-06-30 12:00:00
6280,1593532800000.0,9169.99,9179.29,9095.12,9134.73,4702.335061,2020-06-30 16:00:00
6281,1593547200000.0,9134.29,9172.44,9125.0,9138.55,3184.140425,2020-06-30 20:00:00
6282,1593561600000.0,9138.08,9146.67,9080.1,9138.59,4278.113762,2020-07-01 00:00:00
6283,1593576000000.0,9138.55,9162.85,9125.31,9135.37,4286.206292,2020-07-01 04:00:00
6284,1593590400000.0,9135.37,9200.0,9133.1,9158.98,6935.664897,2020-07-01 08:00:00
6285,1593604800000.0,9159.06,9268.38,9135.07,9263.94,10514.159629,2020-07-01 12:00:00
6286,1593619200000.0,9263.83,9292.0,9232.7,9240.01,8361.798724,2020-07-01 16:00:00
6287,1593633600000.0,9240.01,9259.97,9210.16,9232.0,4112.585395,2020-07-01 20:00:00
6288,1593648000000.0,9231.99,9261.96,9215.12,9237.88,3378.864687,2020-07-02 00:00:00
6289,1593662400000.0,9237.88,9260.84,9166.6,9208.0,6203.788132,2020-07-02 04:00:00
6290,1593676800000.0,9208.33,9220.0,9170.01,9197.01,6246.194805,2020-07-02 08:00:00
6291,1593691200000.0,9196.79,9257.72,9025.0,9048.92,12861.961489,2020-07-02 12:00:00
6292,1593705600000.0,9048.92,9082.24,8940.0,9055.15,11356.838575,2020-07-02 16:00:00
6293,1593720000000.0,9055.14,9150.0,9035.0,9086.54,5677.520388,2020-07-02 20:00:00
6294,1593734400000.0,9086.54,9123.07,9064.67,9092.84,3633.257289,2020-07-03 00:00:00
6295,1593748800000.0,9093.77,9118.36,9076.03,9105.05,3962.588119,2020-07-03 04:00:00
6296,1593763200000.0,9105.25,9125.0,9038.7,9097.0,7492.815584,2020-07-03 08:00:00
6297,1593777600000.0,9097.0,9122.0,9075.0,9100.39,5347.1716,2020-07-03 12:00:00
6298,1593792000000.0,9100.38,9114.0,9067.67,9085.72,4656.318236,2020-07-03 16:00:00
6299,1593806400000.0,9085.7,9104.0,9037.47,9058.26,3851.269349,2020-07-03 20:00:00
6300,1593820800000.0,9057.79,9099.0,9045.34,9085.02,3375.5194,2020-07-04 00:00:00
6301,1593835200000.0,9084.96,9095.0,9067.19,9073.54,2913.400071,2020-07-04 04:00:00
6302,1593849600000.0,9073.6,9085.0,9051.43,9057.69,4320.626922,2020-07-04 08:00:00
6303,1593864000000.0,9058.42,9085.0,9040.04,9066.01,4706.893414,2020-07-04 12:00:00
6304,1593878400000.0,9066.0,9190.0,9061.55,9129.31,8099.355205,2020-07-04 16:00:00
6305,1593892800000.0,9129.31,9146.86,9108.33,9135.46,3026.173472,2020-07-04 20:00:00
6306,1593907200000.0,9135.0,9145.24,9112.38,9129.8,3540.376098,2020-07-05 00:00:00
6307,1593921600000.0,9128.98,9132.44,9040.0,9061.99,7177.481418,2020-07-05 04:00:00
6308,1593936000000.0,9062.17,9074.85,8980.0,9034.48,6377.680744,2020-07-05 08:00:00
6309,1593950400000.0,9034.54,9068.0,8997.93,9028.0,5244.22248,2020-07-05 12:00:00
6310,1593964800000.0,9028.25,9053.64,9018.05,9029.23,3146.87731,2020-07-05 16:00:00
6311,1593979200000.0,9029.23,9108.46,8893.03,9069.41,8587.015577,2020-07-05 20:00:00
6312,1593993600000.0,9069.41,9119.12,9055.92,9087.91,4649.332183,2020-07-06 00:00:00
6313,1594008000000.0,9087.91,9240.0,9078.68,9200.08,13199.233457,2020-07-06 04:00:00
6314,1594022400000.0,9200.08,9229.96,9172.0,9222.96,7768.820833,2020-07-06 08:00:00
